Rating,min_salary,max_salary,avg_salary,Company Age,Seniority_code,senior,business,analytics,junior,quality,lead,management,reporting,healthcare,financial,governance,operations,security,warehouse,Role_num,contains_requirements,contains_team,contains_reporting,contains_information,contains_management,contains_skills,Company Offers,num_competitors,State_num,Headquarters_num,Sector_num,Easy_Apply
3.9,46.0,87.0,66.5,23.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.99561403508773,0,1,0,0,0,0,1,0,71.41159420289856,72.30954631379961,10,0
4.0,46.0,87.0,66.5,102.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,3,3,71.41159420289856,72.30954631379961,13,0
3.8,46.0,87.0,66.5,35.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67.65079365079364,1,1,1,0,1,1,1,3,71.41159420289856,72.30954631379961,3,0
3.7,46.0,87.0,66.5,35.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,1,1,2,3,73.0,72.30954631379961,10,0
3.6,46.0,87.0,66.5,10.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,0,0,1,1,0,71.41159420289856,72.30954631379961,7,0
3.6,46.0,87.0,66.5,56.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70.19811320754717,0,1,0,0,0,1,2,0,73.0,72.30954631379961,3,0
3.8603166666666664,46.0,87.0,66.5,24.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.64285714285714,0,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,3,0
4.0,46.0,87.0,66.5,102.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,0,1,1,1,1,1,3,3,71.41159420289856,72.30954631379961,13,0
3.2,46.0,87.0,66.5,74.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.56227106227107,1,1,1,1,1,1,1,0,71.41159420289856,72.30954631379961,0,0
3.8,46.0,87.0,66.5,44.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69.27659574468085,0,1,1,1,1,1,2,3,71.41159420289856,72.30954631379961,10,0
